model,,experiments,,error,
X,Y,X,Y,X,Y
400,0,400.6198347107438,0.004826254826254761,399.3801652892562,0.004826254826254761
424.79338842975204,0,425.41322314049586,0,425.41322314049586,0.004826254826254761
450.2066115702479,0,450.2066115702479,0,450.2066115702479,0.004826254826254761
475,0,499.79338842975204,0.06274131274131278,499.79338842975204,0.06274131274131278
500.4132231404958,0,550.6198347107438,0.11583011583011604,550,0.1206563706563708
525.2066115702479,0.004826254826254761,575.4132231404958,0.14961389961389937,575.4132231404958,0.15444015444015458
550,0.014478764478764727,629.9586776859504,0.35231660231660245,659.7107438016528,0.7866795366795367
574.793388429752,0.048262548262548055,660.3305785123966,0.7480694980694982,690.0826446280992,1.0907335907335909
600.2066115702479,0.11583011583011604,690.0826446280992,1.0376447876447878,719.8347107438017,1.4864864864864866
625,0.2654440154440154,719.8347107438017,1.418918918918919,765.0826446280992,1.6023166023166024
649.7933884297521,0.5212355212355213,765.0826446280992,1.5299227799227801,799.793388429752,1.8436293436293438
674.5867768595041,0.8542471042471043,799.793388429752,1.756756756756757,835.1239669421487,2.0994208494208495
700,1.2934362934362935,834.5041322314049,2.002895752895753,874.793388429752,2.1814671814671818
724.793388429752,1.5444015444015444,875.4132231404958,2.08976833976834,909.5041322314049,2.1718146718146722
750.2066115702479,1.4913127413127414,910.1239669421487,2.0752895752895757,974.5867768595041,2.2393822393822393
799.793388429752,1.418918918918919,974.5867768595041,2.1380308880308885,999.3801652892563,2.253861003861004
859.9173553719008,1.4044401544401548,1000,2.1525096525096528,629.9586776859504,0.36196911196911197
914.4628099173553,1.3803088803088805,,,,
964.6694214876032,1.3996138996138998,,,,
1000,1.4092664092664093,,,,
