model,,experiments,,error,
X,Y,X,Y,X,Y
399.31584948688715,0,399.31584948688715,0,400,0
424.6294184720639,0,424.6294184720639,-0.0006134969325153339,424.6294184720639,0.0006134969325153339
449.94298745724063,0,449.94298745724063,-0.0006134969325153339,449.94298745724063,0.0006134969325153339
474.57240592930447,0,499.2018244013683,0,500.57012542759406,0.0006134969325153339
499.88597491448115,0,549.8289623717218,0,550.5131128848348,0
524.515393386545,0,575.1425313568985,0,575.1425313568985,0.0006134969325153339
549.8289623717218,0,629.8745724059293,0.003680981595092059,629.8745724059293,0.004294478527607393
574.4583808437856,0.0006134969325153339,659.9771949828962,0.03312883435582825,660.6613454960091,0.03312883435582825
599.7719498289623,0.0030674846625766694,690.0798175598632,0.09079754601226997,690.0798175598632,0.0957055214723927
625.0855188141392,0.010429447852760731,720.1824401368301,0.14969325153374238,720.1824401368301,0.15828220858895709
649.7149372862029,0.031901840490797584,764.6522234891677,0.145398773006135,764.6522234891677,0.15276073619631902
675.0285062713797,0.08404907975460124,799.5438996579247,0.0251533742331288,800.2280501710376,0.02576687116564419
699.6579247434436,0.16871165644171782,835.1197263397947,0,835.1197263397947,0
724.2873432155075,0.20552147239263807,874.8004561003421,0,874.8004561003421,0.0006134969325153339
750.2850627137971,0.15460122699386505,909.6921322690993,0,911.7445838084379,0
799.5438996579247,0.03987730061349698,974.6864310148233,0,975.3705815279361,0.0006134969325153339
859.7491448118586,0.002453987730061391,1000.0000000000001,0,1000.684150513113,0
915.1653363740022,0,,,,
964.42417331813,0,,,,
1000.0000000000001,0,,,,
