model,,experiments,,error,
X,Y,X,Y,X,Y
400,-0.003696857670979714,400,-0.003696857670979714,400,0
424.71678681771374,-0.003544566932731641,424.71678681771374,0.00015229073824807315,424.71678681771374,-0.003544566932731641
450.0514933058703,-0.003388468926026622,450.0514933058703,-0.003388468926026622,450.0514933058703,-0.003388468926026622
474.76828012358396,-0.003236178187778549,500.10298661174045,-0.003080080181073974,499.48506694129765,-0.0030838874495300317
499.48506694129765,0.0006129702214496824,550.1544799176107,-0.002771691436120882,550.1544799176107,-0.002771691436120882
524.8197734294542,-0.002927789442825457,575.4891864057672,-0.0026155934294163075,575.4891864057672,-0.0026155934294163075
548.918640576725,-0.0027793059730334413,629.8661174047375,0.0014163038657097893,629.8661174047375,-0.002280553805269925
574.8712667353244,-0.002619400697872365,659.5262615859938,0.0015990527516080988,659.5262615859938,0.0015990527516080988
600.205973223481,-0.00246330269116779,690.4222451081359,-0.0019074414965611908,690.4222451081359,0.005486273845397793
624.9227600411946,0.001385845718060441,720.7003089598352,0.00567282999975216,720.0823892893924,0.005669022731295659
649.6395468589084,0.0015381364563085143,765.1905252317199,0.005946953328598958,764.572605561277,0.009640003731123059
674.9742533470649,0.001694234463013089,799.7940267765191,0.028341306388025345,800.4119464469619,0.024648255985501688
699.6910401647785,-0.0018503324697181078,835.6333676622039,0.06553070466828226,835.0154479917611,0.06183003972884604
725.643666323378,0.0057032881474019526,875.1802265705459,0.1286209502561344,875.1802265705459,0.13231780792711367
750.3604531410917,0.013249294227609898,909.783728115345,0.19168073769633587,910.4016477857879,0.19538140263577164
799.7940267765191,0.12076274816251686,975.9011328527291,0.24754098048584527,975.2832131822863,0.24753717321738922
860.3501544799176,0.2911913133362902,1000.6179196704429,0.27726813259193106,1000.6179196704429,0.27357127492095135
915.3450051493306,0.3839516020033844,,,,
965.3964984552009,0.43601599814205305,,,,
1000.6179196704429,0.4805953044958129,,,,
