model,,experiments,,error,
X,Y,X,Y,X,Y
399.99883981297785,0.006375227686703067,400,0,400,0
439.48928567285043,0.006375227686703067,424.84076433121015,0,424.84076433121015,0
474.5222929936305,0,449.6815286624203,0,449.6815286624203,0
524.2026614690287,0.006375227686703067,499.9976796259557,0.012750455373406133,499.99651943893355,0.0191256830601092
550.3149907765131,0.0191256830601092,549.6780481013539,0.0191256830601092,550.313830589491,0.025500910746812266
576.4273200839975,0.03187613843351533,575.1545949207011,0.025500910746812266,575.1545949207011,0.025500910746812266
599.3502952675971,0.07012750455373418,629.9270242363068,0.05100182149362498,629.928184423329,0.044626593806921466
624.80827909459,0.1785063752276872,659.8436067894145,0.1593806921675771,659.8447669764366,0.15300546448087404
649.6130776281136,0.3761384335154827,689.7184226097246,0.49726775956284186,689.7172624227024,0.5036429872495449
674.3911918601278,0.7204007285974501,719.6083208613228,0.7522768670309654,719.6083208613228,0.7522768670309654
699.7737635306812,1.2431693989071038,764.1455802675391,1.0200364298724955,764.7720812594989,1.0774134790528231
724.5356351443852,1.6766848816029145,799.7795644657919,1.2112932604735884,799.1310199204112,1.2750455373406195
749.3311521817317,1.9253187613843352,834.7696448667525,1.4408014571948997,834.7545624354647,1.52367941712204
799.5684104277609,2.371584699453552,874.8831111575187,1.517304189435337,874.2322462380936,1.5938069216757742
859.3632893622452,2.798724954462659,909.8998758599887,1.6001821493624773,909.2501711275858,1.6703096539162114
914.7598992957666,2.8943533697632056,974.2183239938278,1.6703096539162114,974.2032415625399,1.7531876138433513
964.4425881452091,2.887978142076503,999.6879096910421,1.714936247723133,999.0335642105507,1.8105646630236794
999.4755954659892,2.8816029143897994,,,,
