model,,experiments,,error,
X,Y,X,Y,X,Y
401.25654450261777,0.003577817531305705,400.6282722513089,0,401.25654450261777,0.003577817531305705
426.3874345549738,0,426.3874345549738,0.003577817531305705,425.7591623036649,0
451.5183246073299,0,450.89005235602093,-0.003577817531306149,450.89005235602093,0.00715563506261141
474.76439790575915,0,500.5235602094241,0,500.5235602094241,0.003577817531305705
493.6125654450262,0.003577817531305705,550.7853403141361,-0.003577817531306149,550.1570680628272,0
515.6020942408377,0.003577817531305705,575.2879581151832,0,576.5445026178011,0.003577817531305705
538.2198952879581,0.003577817531305705,630.5759162303665,0.017889087656529412,631.2041884816754,0.021466905187835117
560.2094240837696,0,660.7329842931937,0.025044722719141266,660.7329842931937,0.02862254025044697
599.7905759162304,0,690.261780104712,0.035778175313058824,690.8900523560209,0.035778175313058824
624.9214659685863,0.003577817531305705,720.4188481675392,0.04651162790697638,720.4188481675392,0.05008944543828253
650.0523560209424,0.021466905187835117,765.0261780104711,0.2397137745974951,765.6544502617801,0.24686940966010695
683.979057591623,0.08228980322003521,800.2094240837696,0.558139534883721,800.2094240837696,0.586762075134168
709.7382198952879,0.18604651162790686,834.7643979057591,0.665474060822898,834.7643979057591,0.701252236135957
734.2408376963351,0.33989266547406083,874.9738219895288,0.7441860465116279,874.3455497382198,0.7835420393559926
748.0628272251308,0.4436493738819318,910.1570680628272,0.7978533094812164,910.1570680628272,0.8407871198568873
764.3979057591623,0.5438282647584971,974.869109947644,0.9087656529516994,974.2408376963351,0.9516994633273703
793.2984293193717,0.6976744186046511,999.3717277486911,0.9230769230769229,999.3717277486911,1.0232558139534884
815.2879581151833,0.8121645796064401,,,,
845.4450261780105,0.958855098389982,,,,
859.8952879581152,1.0304114490161,,,,
886.282722513089,1.0304114490161,,,,
912.0418848167538,1.033989266547406,,,,
934.0314136125654,1.0125223613595706,,,,
970.4712041884817,0.9803220035778175,,,,
998.1151832460732,0.9516994633273703,,,,
